scope_id,family_id,family,subscope,system_object,disturbance_or_transition,primary_outcome,geometric_role,mathematical_art_role,evidence_state,selection_state,notes
MSR-SS-001,MSR-SF-001,"Coupled critical-infrastructure systems","Interdependent lifeline service states","Power water transport communication or waste service networks","Multi-hazard failure and cascading outage","Critical-service continuity and recovery","Multilayer state geometry or coupled-network dynamics","Animated service-state and dependency encoding","ANCHOR_PRESENT","SEARCH_SCOPE","Requires explicit system boundary and dependency evidence"
MSR-SS-002,MSR-SF-001,"Coupled critical-infrastructure systems","Cascading-failure propagation","Interdependent network components and interfaces","Local failure propagating across layers","Cascade containment and avoided service loss","Percolation topology and stratified failure states","Cascade-path visualization with uncertainty","ANCHOR_PRESENT","SEARCH_SCOPE","Network topology is not automatically differential geometry"
MSR-SS-003,MSR-SF-001,"Coupled critical-infrastructure systems","Joint restoration sequencing","Damaged assets crews and coupled services","Hazard damage and constrained restoration","Recovery time equity and resource use","Recovery-trajectory geometry and scheduling","Recovery trajectory animation","ANCHOR_PRESENT","SEARCH_SCOPE","Needs sustainability accounting and community outcomes"
MSR-SS-004,MSR-SF-001,"Coupled critical-infrastructure systems","Interface control and observability","Physical informational operational and organizational interfaces","Sensor loss control failure or coordination delay","Viable operation and coordinated response","Hybrid or stratified state spaces","Interface glyphs and causal pathway views","PARTIAL","SEARCH_SCOPE","Data access and identifiability are central risks"
MSR-SS-005,MSR-SF-001,"Coupled critical-infrastructure systems","Cross-sector adaptation investment","Infrastructure portfolios and affected communities","Chronic climate stress and acute disruption","Life-cycle cost emissions service and distributional recovery","Multiobjective feasible-set geometry","Interactive trade-off landscape","PARTIAL","SEARCH_SCOPE","Finance is a decision layer rather than the system itself"
MSR-SS-006,MSR-SF-002,"Climate-adaptive buildings structures and materials","Passive envelope geometry","Building envelope shading ventilation and thermal mass","Heat cold or energy-price stress","Operational energy comfort and passive survivability","Surface geometry shape optimization and flows","Form-performance generative exploration","PARTIAL","SEARCH_SCOPE","Must quantify hazard response and life-cycle effects"
MSR-SS-007,MSR-SF-002,"Climate-adaptive buildings structures and materials","Low-carbon structural members","Beams frames slabs and material choices","Load uncertainty deterioration or extreme event","Embodied carbon capacity damage and recovery","Shape and topology optimization","Carbon-capacity form encoding","ANCHOR_PRESENT","SEARCH_SCOPE","Carbon and resilience are often studied separately"
MSR-SS-008,MSR-SF-002,"Climate-adaptive buildings structures and materials","Shells membranes and gridshells","Thin structural surfaces and support networks","Wind seismic snow or material degradation","Material efficiency stability reparability and recovery","Differential and discrete surface geometry","Curvature and force-flow visualization","PARTIAL","SEARCH_SCOPE","Requires physical validation and recovery semantics"
MSR-SS-009,MSR-SF-002,"Climate-adaptive buildings structures and materials","Architected and metamaterial resilience","Hierarchical cellular or lattice materials","Impact crushing fatigue or cyclic load","Energy absorption recoverability and material intensity","Geometric mechanics and multiscale shape design","Hierarchical generative form","ANCHOR_PRESENT","SEARCH_SCOPE","Sustainability cannot be inferred from high performance alone"
MSR-SS-010,MSR-SF-002,"Climate-adaptive buildings structures and materials","Damage-aware retrofit geometry","Existing buildings components and retrofit interventions","Earthquake flood heat or deterioration","Avoided damage carbon payback and functional recovery","Shape spaces and intervention optimization","Before-after damage and repair encoding","PARTIAL","SEARCH_SCOPE","Needs baseline retrofit comparators and uncertainty"
MSR-SS-011,MSR-SF-003,"Energy systems microgrids and storage networks","AC power-flow manifolds","Transmission or distribution network operating states","Load generation contingency or topology change","Feasibility stability loss emissions and service continuity","Riemannian power-flow manifold and curvature","Feasible-manifold and boundary visualization","ANCHOR_PRESENT","SEARCH_SCOPE","Strongest explicit-DG anchor; outcome bridge incomplete"
MSR-SS-012,MSR-SF-003,"Energy systems microgrids and storage networks","Geometric optimal power flow","Generator load voltage and network decision space","Demand and renewable variability","Cost emissions feasibility and security","Riemannian optimization on constraint manifolds","Geodesic search-path visualization","ANCHOR_PRESENT","SEARCH_SCOPE","Must test performance against established solvers"
MSR-SS-013,MSR-SF-003,"Energy systems microgrids and storage networks","Microgrid islanding and restoration","Distributed energy resources loads and controllers","Grid outage communication loss or fuel constraint","Critical-load continuity low-carbon operation and recovery","Hybrid state-space control and viability","Operational-state and restoration animation","PARTIAL","SEARCH_SCOPE","Sustainability management literature is not proof of DG necessity"
MSR-SS-014,MSR-SF-003,"Energy systems microgrids and storage networks","Storage degradation state geometry","Battery thermal electrochemical and operational states","Cycling temperature shock or supply interruption","Lifetime efficiency safety and recovery reserve","Learned manifolds and information geometry","State-of-health visual encoding","NOT_YET_IDENTIFIED","SEARCH_SCOPE","Needs physics-grounded metric and validation data"
MSR-SS-015,MSR-SF-003,"Energy systems microgrids and storage networks","Renewable forecast and dispatch manifolds","Weather generation demand and reserve trajectories","Forecast error ramp event or extreme weather","Curtailment emissions reliability and adaptive dispatch","Trajectory manifolds optimal transport or geometric control","Uncertainty-aware scenario landscapes","PARTIAL","SEARCH_SCOPE","Avoid equating forecast accuracy with resilience"
MSR-SS-016,MSR-SF-004,"Water drainage coastal and blue-green systems","Water-distribution topological resilience","Pipes junctions reservoirs pumps and service zones","Pipe failure contamination or demand shock","Service availability redundancy and recovery","Persistent homology and network topology","Persistence-diagram and service-area views","ANCHOR_PRESENT","SEARCH_SCOPE","TDA is adjacent geometry rather than classical DG"
MSR-SS-017,MSR-SF-004,"Water drainage coastal and blue-green systems","Urban drainage flood adaptation","Sewer drainage surface flow and storage systems","Extreme rainfall blockage or capacity exceedance","Flood volume damage cost and recovery","Multiobjective optimization and hydraulic state geometry","Flood-recovery animation","ANCHOR_PRESENT","SEARCH_SCOPE","No presumption that urban flooding is the selected hazard"
MSR-SS-018,MSR-SF-004,"Water drainage coastal and blue-green systems","Coastal erosion shape design","Coastline bathymetry structures and shallow-water flow","Storm wave sea-level rise or chronic erosion","Erosion mitigation habitat and maintenance impacts","Shape calculus and PDE-constrained geometry","Coastline evolution and uncertainty encoding","ANCHOR_PRESENT","SEARCH_SCOPE","Ecological and distributional outcomes need measurement"
