query_id,date,search_channel,query,purpose,screening_status,notes
Q001,2026-08-22,"WEB_DISCOVERY","PRISMA-ScR checklist scoping reviews Tricco 2018 official paper DOI","Review-method anchor","EXECUTED","Publisher or PubMed record verified; no total hit count retained"
Q002,2026-08-22,"WEB_DISCOVERY","JBI Manual Evidence Synthesis scoping reviews official chapter","Review-method anchor","EXECUTED","Official methodological source sought; no total hit count retained"
Q003,2026-08-22,"WEB_DISCOVERY","Peters Marnie scoping reviews updated methodological guidance 2020 DOI","Review-method anchor","EXECUTED","Publisher or PubMed record verified; no total hit count retained"
Q004,2026-08-22,"WEB_DISCOVERY","PRISMA 2020 statement official BMJ paper","Reporting-method boundary","EXECUTED","Used to distinguish systematic-review reporting from Phase-0 landscape discovery"
Q005,2026-08-22,"WEB_DISCOVERY","differential geometry sustainability resilience application Riemannian manifold paper","Cross-domain intersection","EXECUTED","Broad discovery; candidate anchors verified separately"
Q006,2026-08-22,"WEB_DISCOVERY","manifold learning climate resilience Earth system paper DOI","Cross-domain intersection","EXECUTED","Broad discovery; candidate anchors verified separately"
Q007,2026-08-22,"WEB_DISCOVERY","optimal transport geometry climate science sustainability paper DOI","Cross-domain intersection","EXECUTED","Broad discovery; adjacent methods kept distinct from DG"
Q008,2026-08-22,"WEB_DISCOVERY","information geometry ecological resilience paper DOI","Cross-domain intersection","EXECUTED","Broad discovery; no absence claim from limited results"
Q009,2026-08-22,"WEB_DISCOVERY","interdependent critical infrastructure resilience review Ouyang 2014 DOI reliability engineering system safety","Critical-infrastructure scope","EXECUTED","Anchor metadata verified"
Q010,2026-08-22,"WEB_DISCOVERY","multilayer networks critical infrastructure resilience Buldyrev Nature 2010 DOI","Critical-infrastructure scope","EXECUTED","Anchor metadata verified; network topology not coded as DG"
Q011,2026-08-22,"WEB_DISCOVERY","geometry topology optimization sustainable buildings embodied carbon peer reviewed DOI","Building and structural scope","EXECUTED","Candidate anchors verified separately"
Q012,2026-08-22,"WEB_DISCOVERY","architected materials differential geometry resilience sustainability metamaterials paper DOI","Building and materials scope","EXECUTED","Mechanical resilience separated from life-cycle sustainability"
Q013,2026-08-22,"WEB_DISCOVERY","Riemannian optimization power systems optimal power flow manifold DOI","Energy scope","EXECUTED","Explicit-DG candidate anchors verified"
Q014,2026-08-22,"WEB_DISCOVERY","manifold learning power grid resilience fault detection DOI paper","Energy scope","EXECUTED","Accuracy not treated as resilience without trajectory outcome"
Q015,2026-08-22,"WEB_DISCOVERY","geometric methods microgrid resilience sustainable energy paper DOI","Energy scope","EXECUTED","Method and outcome strands screened separately"
Q016,2026-08-22,"WEB_DISCOVERY","power flow solution manifold geometry paper DOI","Energy scope","EXECUTED","Explicit-DG anchor metadata verified"
Q017,2026-08-22,"WEB_DISCOVERY","differential geometry water drainage network optimization resilience paper DOI","Water scope","EXECUTED","Broad discovery; no false DG attribution"
Q018,2026-08-22,"WEB_DISCOVERY","shape optimization coastal structures sustainability resilience paper DOI","Coastal scope","EXECUTED","Shape-calculus anchor identified"
Q019,2026-08-22,"WEB_DISCOVERY","topological data analysis hydrology flood resilience paper DOI","Water scope","EXECUTED","TDA anchors screened as adjacent geometry"
Q020,2026-08-22,"WEB_DISCOVERY","blue green infrastructure spatial optimization resilience sustainability peer reviewed DOI","Blue-green scope","EXECUTED","Multi-benefit scope retained with partial evidence status"
Q021,2026-08-22,"WEB_DISCOVERY","optimal transport sustainable transportation multilayer networks carbon emissions Phys Rev E 2022 DOI","Transportation scope","EXECUTED","Publisher metadata verified"
Q022,2026-08-22,"WEB_DISCOVERY","Riemannian geometry transportation network resilience paper DOI","Transportation scope","EXECUTED","No absence claim; graph and OT evidence distinguished from DG"
Q023,2026-08-22,"WEB_DISCOVERY","topological data analysis traffic network resilience evacuation paper DOI","Transportation scope","EXECUTED","Broad discovery; candidate anchors verified separately"
Q024,2026-08-22,"WEB_DISCOVERY","geometric deep learning sustainable mobility transportation resilience paper DOI","Transportation scope","EXECUTED","Prediction accuracy not treated as sustainability or resilience"
Q025,2026-08-22,"WEB_DISCOVERY","network geometry industrial ecology material flow resilience sustainability paper DOI","Circular-systems scope","EXECUTED","Industrial-symbiosis anchor verified"
Q026,2026-08-22,"WEB_DISCOVERY","topological data analysis circular economy industrial symbiosis paper DOI","Circular-systems scope","EXECUTED","No absence claim from limited discovery"
Q027,2026-08-22,"WEB_DISCOVERY","optimal transport circular supply chain sustainability resilience DOI paper","Circular-systems scope","EXECUTED","Fused Gromov-Wasserstein anchor verified"
Q028,2026-08-22,"WEB_DISCOVERY","shape geometry waste sorting recycling sustainability mathematical paper DOI","Waste and recycling scope","EXECUTED","Classification and optimization evidence screened separately"
Q029,2026-08-22,"WEB_DISCOVERY","geometric framework ecosystem resilience niche geometry perturbations PRX Life 2025 DOI","Ecology scope","EXECUTED","Publisher metadata verified"
Q030,2026-08-22,"WEB_DISCOVERY","topological data analysis ecology resilience ecosystems paper DOI","Ecology scope","EXECUTED","Longitudinal ecosystem-state anchor verified"
Q031,2026-08-22,"WEB_DISCOVERY","manifold learning ecological dynamics resilience paper DOI","Ecology scope","EXECUTED","Broad discovery; learned manifolds require validation"
Q032,2026-08-22,"WEB_DISCOVERY","landscape connectivity geometry ecological restoration resilience paper DOI","Landscape scope","EXECUTED","Connectivity-service review anchor verified"
Q033,2026-08-22,"WEB_DISCOVERY","manifold learning precision agriculture resilience sustainability paper DOI","Agriculture scope","EXECUTED","Broad discovery; no false outcome inference"
Q034,2026-08-22,"WEB_DISCOVERY","topological data analysis plant phenotyping agriculture paper DOI","Plant phenotyping scope","EXECUTED","Morphology anchor verified"
Q035,2026-08-22,"WEB_DISCOVERY","shape analysis differential geometry plant phenotyping paper DOI","Plant geometry scope","EXECUTED","Growth and morphometrics anchors screened"
Q036,2026-08-22,"WEB_DISCOVERY","food system resilience network geometry sustainability paper DOI","Food-system scope","EXECUTED","Food network resilience anchor verified"
Q037,2026-08-22,"WEB_DISCOVERY","optimal transport humanitarian logistics resilience equity paper DOI","Humanitarian scope","EXECUTED","Broad discovery; equity kept as explicit eligibility issue"
Q038,2026-08-22,"WEB_DISCOVERY","network geometry community resilience critical services paper DOI","Community-service scope","EXECUTED","Restoration anchor screened"
Q039,2026-08-22,"WEB_DISCOVERY","manifold learning public health resilience disaster response DOI","Public-health scope","EXECUTED","Hyperbolic-embedding anchor verified"
Q040,2026-08-22,"WEB_DISCOVERY","humanitarian logistics network design sustainability resilience systematic review DOI","Humanitarian scope","EXECUTED","Review anchor verified"
Q041,2026-08-22,"WEB_DISCOVERY","differential geometry shape optimization sustainable design topology optimization paper DOI","Multiscale-design scope","EXECUTED","DG and adjacent methods kept distinct"
Q042,2026-08-22,"WEB_DISCOVERY","mathematical art sustainability scientific visualization resilience generative design paper DOI","Multiscale-design and art scope","EXECUTED","Communication and physical performance not conflated"
Q043,2026-08-22,"WEB_DISCOVERY","discrete differential geometry architectural design sustainability paper DOI","Architectural-geometry scope","EXECUTED","Architectural geometry anchor verified at publisher level"
Q044,2026-08-22,"WEB_DISCOVERY","shape grammars sustainable resilient design paper DOI","Shape-grammar scope","EXECUTED","Focal paper retained as method/design evidence only"
Q045,2026-08-22,"WEB_DISCOVERY","manifold learning climate system extremes Earth System Dynamics 2020 DOI","Earth/climate scope","EXECUTED","Broad discovery supported new-family testing"
Q046,2026-08-22,"WEB_DISCOVERY","topological data analysis climate resilience extreme events paper DOI","Earth/climate scope","EXECUTED","Atmospheric-pattern anchor verified through institutional record"
Q047,2026-08-22,"WEB_DISCOVERY","urban morphology geometry sustainability resilience street networks paper DOI","Urban-morphology scope","EXECUTED","Review anchors verified"
Q048,2026-08-22,"WEB_DISCOVERY","differential geometry climate dynamics attractor manifold paper DOI","Earth/climate scope","EXECUTED","Climate-manifold anchor verified"
Q049,2026-08-22,"WEB_DISCOVERY","architectural geometry discrete differential geometry sustainability structural material reduction DOI Pottmann","Building and design follow-up","EXECUTED","Publisher metadata verified; direct outcome boundary retained"
Q050,2026-08-22,"WEB_DISCOVERY","topology optimization embodied carbon structural design DOI paper","Building and design follow-up","EXECUTED","Carbon and geometry strands screened"
Q051,2026-08-22,"WEB_DISCOVERY","shell structures differential geometry low carbon design paper DOI","Building and design follow-up","EXECUTED","Scope retained; no global evidence-strength claim"
Q052,2026-08-22,"WEB_DISCOVERY","origami metamaterials resilience sustainability geometric design DOI","Materials and design follow-up","EXECUTED","Mechanical resilience kept distinct from sustainability"
Q053,2026-08-22,"WEB_DISCOVERY","data physicalization climate change scientific visualization art peer reviewed DOI","Mathematical-art scope","EXECUTED","Empirical communication evidence sought"
Q054,2026-08-22,"WEB_DISCOVERY","mathematical art environmental sustainability visualization peer reviewed DOI","Mathematical-art scope","EXECUTED","Art role classified as cross-cutting"
Q055,2026-08-22,"WEB_DISCOVERY","scientific visualization uncertainty climate resilience communication DOI","Visualization scope","EXECUTED","Uncertainty and communication functions screened"
Q056,2026-08-22,"WEB_DISCOVERY","generative design mathematical art sustainability architecture peer reviewed DOI","Generative-design scope","EXECUTED","Aesthetic value not treated as performance evidence"
Q057,2026-08-22,"WEB_DISCOVERY","manifold learning digital twin structural health monitoring resilience sustainability paper DOI","Digital-twin scope","EXECUTED","Digital twin tested as cross-cutting architecture"
Q058,2026-08-22,"WEB_DISCOVERY","Riemannian geometry digital twins engineering systems paper DOI","Digital-twin scope","EXECUTED","No false DG attribution from architecture terminology"
Q059,2026-08-22,"WEB_DISCOVERY","reduced order manifold digital twin climate resilient infrastructure DOI","Digital-twin scope","EXECUTED","Model reduction and resilience outcomes screened separately"
Q060,2026-08-22,"WEB_DISCOVERY","digital twin sustainable resilient infrastructure systematic review DOI","Digital-twin scope","EXECUTED","National Academies gap report retained as authoritative cross-cutting source"
Q061,2026-08-22,"WEB_DISCOVERY","information geometry sustainable finance climate risk resilience paper DOI","Finance and governance scope","EXECUTED","Evidence insufficient to create a primary application family"
Q062,2026-08-22,"WEB_DISCOVERY","optimal transport climate finance resource allocation sustainability paper DOI","Finance and governance scope","EXECUTED","Finance retained as cross-cutting decision layer"
Q063,2026-08-22,"WEB_DISCOVERY","manifold learning socioeconomic resilience climate risk paper DOI","Finance and governance scope","EXECUTED","No absence claim; representation must connect to causal outcome"
Q064,2026-08-22,"WEB_DISCOVERY","geometric methods sustainable development economics resilience paper DOI","Finance and governance scope","EXECUTED","No distinct primary family added from Phase-0 evidence"
