evidence_id,source_location,claim,evidence_status,directness,review_relevance,limitation
MSR-CS-001-E001,"Abstract; Sections 1 and 3","The paper introduces Stochastic Rewrite Descent for mixed structural rewrites and continuous parameter updates.",OBSERVED,Direct,"Optimization and geometric design","No infrastructure or sustainability application"
MSR-CS-001-E002,"Section 3.1","The grammar is defined as G=(V,Sigma,R,omega).",OBSERVED,Direct,"Formal representation","Not a differential-geometric structure by itself"
MSR-CS-001-E003,"Section 3.1; Equation 1","The design space is a disjoint union of structure-specific Euclidean parameter spaces.",OBSERVED,Direct,"Hybrid and transdimensional modeling","No Riemannian metric or smooth-manifold proof"
MSR-CS-001-E004,"Section 3.2; Table 1","Reversibility is recommended through complementary rewrites.",OBSERVED,Direct,"Correctable structural optimization","Not physical or thermodynamic reversibility"
MSR-CS-001-E005,"Section 3.2; Table 1","Jump continuity bounds instantaneous rendered-shape change under rewrites.",OBSERVED,Direct,"Bounded intervention effects","Does not establish global continuity across strata"
MSR-CS-001-E006,"Section 3.2; Table 1","Local geometric control enables localized changes without distant shape changes.",OBSERVED,Direct,"Targeted intervention design","Not control-theoretic controllability"
MSR-CS-001-E007,"Section 3.2; Table 1","Repairability provides rewrites that return a shape to a feasible region.",OBSERVED,Direct,"Constraint-handling concept","Not proof of dynamically feasible recovery"
MSR-CS-001-E008,"Section 3.3","The implementation samples 64 valid rewrites and greedily selects compatible improving rewrites.",OBSERVED,Direct,"Algorithm configuration","Configuration is not shown to be universally optimal"
MSR-CS-001-E009,"Section 5.1","Image-fitting evaluation uses 128 OneComp, 25 Donut, and 23 TwoComp shapes.",OBSERVED,Direct,"Experimental scope","Handpicked and task-specific datasets"
MSR-CS-001-E010,"Table 2","Full Arc-Line grammar reports PSNR 44.3, 48.1, and 49.3 across the three datasets.",OBSERVED,Direct,"Ablation evidence","PSNR is not a sustainability or resilience metric"
MSR-CS-001-E011,"Table 2","Arc-Line without AddLoop reports 11.4 PSNR on Donut versus 48.1 for the full grammar.",OBSERVED,Direct,"Importance of topology-changing rewrites","One grammar and benchmark setting"
MSR-CS-001-E012,"Section 6.3; Figure 3","RJMCMC, Tr-1, and Tr-5 report PSNR 15.3, 20.0, and 31.3 and runtimes 219, 19, and 99 minutes.",OBSERVED,Direct,"Comparator evidence","Does not establish universal optimizer ranking"
MSR-CS-001-E013,"Section 5.3; Figure 7","The framework is demonstrated on cantilever and MBB topology-optimization examples.",OBSERVED,Direct,"Structural geometric design","Main-paper validation is limited and does not report sustainability indicators"
MSR-CS-001-E014,"Figures 1, 4, 5, and 6","The paper generates procedural trees, fitted shapes, text-conditioned forms, and morphing sequences.",OBSERVED,Direct,"Mathematical art and visualization","Communication effectiveness is not empirically tested"
MSR-CS-001-E015,"Full-text review","No explicit Riemannian metric, geodesic, curvature, connection, or intrinsic manifold analysis was found.",NOT_OBSERVED,Direct,"Differential-geometry boundary","Applies only to the reviewed main paper"
MSR-CS-001-E016,"Full-text review","No carbon, energy, resource, economic, social, equity, or integrated sustainability output was found.",NOT_OBSERVED,Direct,"Sustainability boundary","Does not prove global absence from all related work"
MSR-CS-001-E017,"Full-text review","No climate hazard, service-loss, recovery, viability, or resilience metric was found.",NOT_OBSERVED,Direct,"Resilience boundary","Applies only to this paper"
MSR-CS-001-E018,"Section 7","The authors report hyperparameter, rewrite-distribution, theoretical, and application limitations.",OBSERVED,Direct,"Validity assessment","Supplemental analyses were not supplied"
MSR-CS-001-E019,"Section 1","The paper states that code is available through a GitHub repository.",OBSERVED,Direct,"Reproducibility claim","Repository contents were not executed or audited"
MSR-CS-001-E020,"Review synthesis","The source formalism motivates exploration of domain-neutral stratified hybrid state spaces combining discrete rewrites, continuous dynamics, admissibility constraints, and optional intrinsic metrics.",PROPOSED,Transfer,"Candidate research bridge","Not demonstrated or endorsed by the source authors; does not select an application domain"
