record_id,record_type,label,system_boundary,hazard_or_stressor,outcome,scale,geography,geometric_role,data_validation_path,mathematical_art_role,status,evidence_status,notes
MSR-SF-001,SEARCH_FAMILY,"Coupled critical-infrastructure systems",NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,OPEN,NOT_ASSESSED,"Includes but does not privilege the prior P-W-T-SW urban-flooding concept"
MSR-SF-002,SEARCH_FAMILY,"Climate-adaptive buildings structures and materials",NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,OPEN,NOT_ASSESSED,"Search family only"
MSR-SF-003,SEARCH_FAMILY,"Energy systems microgrids and storage networks",NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,OPEN,NOT_ASSESSED,"Search family only"
MSR-SF-004,SEARCH_FAMILY,"Water drainage coastal and blue-green systems",NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,OPEN,NOT_ASSESSED,"Search family only"
MSR-SF-005,SEARCH_FAMILY,"Transportation mobility and evacuation networks",NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,OPEN,NOT_ASSESSED,"Search family only"
MSR-SF-006,SEARCH_FAMILY,"Circular material waste and industrial-ecology systems",NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,OPEN,NOT_ASSESSED,"Search family only"
MSR-SF-007,SEARCH_FAMILY,"Ecological landscape and restoration systems",NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,OPEN,NOT_ASSESSED,"Search family only"
MSR-SF-008,SEARCH_FAMILY,"Food agriculture and coupled human-natural systems",NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,OPEN,NOT_ASSESSED,"Search family only"
MSR-SF-009,SEARCH_FAMILY,"Community service health and humanitarian logistics systems",NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,OPEN,NOT_ASSESSED,"Search family only"
MSR-SF-010,SEARCH_FAMILY,"Multiscale geometric design linking form function resources and recovery",NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,OPEN,NOT_ASSESSED,"Search family only"
MSR-APP-C001,APPLICATION_CANDIDATE,"Coupled P-W-T-SW infrastructure under urban flooding","Coupled power water transportation and solid-waste systems","Urban flooding with possible blockage and interface effects",NOT_SPECIFIED,NOT_SPECIFIED,NOT_SPECIFIED,"Possible stratified hybrid or viability geometry",NOT_SPECIFIED,"Possible evidence-mapped recovery visualization",INCOMPLETE_UNSCREENED,PROPOSED,"Previously treated as principal demonstrator; now retained only as an incomplete candidate with no selection effect"
